No,NAME,FOLLOWERS,ER,COUNTRY,Topic_of_Influence,POTENTIAL_REACH,channel_name,total_subscribers,total_views,total_videos
1,T-Series @UCq-Fj5jknLsUf-MWSy4_brA,234000000,-,India,,70200000,T-Series,286000000,2.8433E+11,22655
2,SET India @UCpEhnqL0y41EpW2TvWAHD7Q,139000000,-,India,,41700000,SET India,181000000,1.74423E+11,150996
3,Zee Music Company @UCFFbwnve3yF62-tVXkTyHqg,91400000,-,India,,27400000,Zee Music Company,114000000,74201548605,13441
4,Goldmines @UCyoXW-Dse7fURq30EWl_CUA,72000000,-,India,,21600000,Goldmines,103000000,29317335190,9806
5,Sony SAB @UC6-F5tO8uklgE9Zy8IvbdFw,69200000,-,India,,20800000,Sony SAB,99100000,1.25397E+11,95906
6,Zee TV @UCppHT7SZKKvar4Oc9J4oljQ,64000000,-,India,,19200000,Zee TV,87600000,99620269693,198573
7,Shemaroo Filmi Gaane @UCP6uH_XlsxrXwZQ4DlqbqPg,61100000,-,India,,18300000,Shemaroo Filmi Gaane,70900000,31440733425,9140
8,Colors TV @UC55IWqFLDH1Xp7iu1_xknRA,59200000,-,India,,17800000,Colors TV,78600000,77689877369,206209
9,ChuChu TV Nursery Rhymes & Kids Songs @UCBnZ16ahKA2DZ_T5W0FPUXg,58700000,-,India,,17600000,ChuChu TV Nursery Rhymes & Kids Songs,95000000,53867095250,863
10,Tips Official @UCJrDMFOdv1I2k8n9oK_V21w,56500000,-,India,,17000000,Tips Official,72500000,44405190906,7178
11,Wave Music @bhojpuriwave,55600000,-,India,,16700000,Sony Music India,63700000,33500279526,6227
12,Sony Music India @UC56gTxNs4f9xZ7Pa2i5xNzg,55300000,-,India,,16600000,Aaj Tak,69900000,36700763496,430647
13,Aaj Tak @UCt4t-jeY85JegMlZ-E5UWtA,54000000,-,India,,16200000,YRF,63800000,45869609626,4395
14,YRF @UCbTLwN10NoCU4WDzLf1JMOA,48400000,-,India,,14500000,Infobells - Hindi,68200000,40843843854,747
15,Infobells - Hindi @UC1ciY6kR3yj3kaKZ6R7ewAg,46600000,-,India,,14000000,Shemaroo,57200000,25964431821,13240
16,CarryMinati @carryminati,41600000,9.20%,India,Video Gaming,12500000,Speed Records,46000000,31176322492,12031
17,Shemaroo @UCF1JIbMUs6uqoZEY1Haw0GQ,41200000,-,India,Celebrity,12400000,JioCinema Kids,52400000,25443643813,7456
18,Speed Records @UCOsyDsO5tIt-VZ1iwjdQmew,41100000,-,India,Music,12300000,Ishtar Music,48400000,21997444169,4814
19,Voot Kids @UCJg19noZp7-BYIGvypu_cow,39300000,-,India,,11800000,Goldmines Gaane Sune Ansune,45200000,20972377328,4022
20,Ishtar Music @UCWi_65E_L8tQZ34C6wVAlpQ,38500000,-,India,Music Celebrity,11600000,T-Series Apna Punjab,38400000,25550677293,8983
21,Goldmines Gaane Sune Ansune @UCtW7qWjpCZ8zps-Cf2NF26w,35600000,-,India,,10700000,Total Gaming,44200000,4709456190,527
22,T-Series Apna Punjab @UCcvNYxWXR_5TjVK7cSCdW-g,33600000,-,India,,10100000,ABP NEWS,46900000,20351889708,446156
23,Total Gaming @UC5c9VlYTSvBSCaoMu_GI6gQ,33600000,0.20%,India,Video Gaming,10100000,Desi Music Factory,34000000,10908821007,299
24,ABP NEWS @UCRWFSbif-RFENbBrSiez1DA,33500000,-,India,,10100000,T-Series Bollywood Classics,45200000,30827768575,2180
25,Desi Music Factory @UCLtNvbkqea8wN_kGtfgx_Mw,33000000,1.80%,India,,9900000,Saregama Music,52400000,25478201587,9685
26,Bollywood Classics @UCRm96I5kmb_iGFofE5N691w,32700000,-,India,,9800000,Rajshri,38200000,17988121306,4895
27,Saregama Music @UC_A7K2dXFsTMAciGmnNxy-Q,32100000,-,India,,9600000,IndiaTV,45500000,23981143583,341747
28,Rajshri @UCEKWXRsfUHkan-D_ljU8Asw,31900000,-,India,,9600000,Eros Now Music,34800000,18644427475,9738
29,IndiaTV @UCttspZesZIDEwwpVIgoZtWQ,31600000,-,India,,9500000,MR. INDIAN HACKER,44500000,7768505331,1065
30,Eros Now Music @UCX52tYZiEh_mHoFja3Veciw,31100000,-,India,,9300000,Zee News,39100000,25459492684,208881
31,MR. INDIAN HACKER @UCSiDGb0MnHFGjs4E2WKvShw,29800000,-,India,,8900000,Techno Gamerz,44400000,13154019904,1094
32,Zee News @UCIvaYmXn910QMdemBG3v1pQ,28700000,-,India,,8600000,WowKidz,39400000,22224398400,11646
